niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Start Deutsch 1),Koffer,der,bavul,–,Nomen,Ist das Ihr Koffer?,"der Koffer, –",A1_SD1.pdf
A1 (Start Deutsch 1),Kollege,der,"iş arkadaşı, meslektaş",-n,Nomen,Wie heißt die neue Kollegin?,"der Kollege, -n",A1_SD1.pdf
A1 (Start Deutsch 1),kommen,,gelmek,,Sonstiges,Woher kommen Sie? – Aus Frankreich. Kommst du mit ins Schwimmbad?,kommen,A1_SD1.pdf
A1 (Start Deutsch 1),können,,"yapabilmek, bilmek",,Sonstiges,Ich kann Deutsch und Russisch. Können Sie mir helfen?,können,A1_SD1.pdf
A1 (Start Deutsch 1),Konto,das,hesap (banka),,Nomen,Das Geld überweisen wir am ersten März auf Ihr Konto.,das Konto,A1_SD1.pdf
A1 (Start Deutsch 1),Kopf,der,"baş, kafa",,Nomen,Mein Kopf tut weh!,der Kopf,A1_SD1.pdf
A1 (Start Deutsch 1),kosten,,"mal olmak, fiyatı olmak",,Sonstiges,Wie viel kostet das? – 10 Euro.,kosten,A1_SD1.pdf
A1 (Start Deutsch 1),krank,,hasta,,Sonstiges,"Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett.",krank,A1_SD1.pdf
A1 (Start Deutsch 1),kriegen,,"almak, elde etmek",,Sonstiges,Ich kriege 15 Euro in der Stunde für meine Arbeit.,kriegen,A1_SD1.pdf
A1 (Start Deutsch 1),Küche,die,mutfak,,Nomen,Der neue Herd kommt in die Küche.,die Küche,A1_SD1.pdf
A1 (Start Deutsch 1),Kuchen,der,"kek, pasta",,Nomen,Ich nehme ein Stück Kuchen.,der Kuchen,A1_SD1.pdf
A1 (Start Deutsch 1),Kugelschreiber,der,tükenmez kalem,,Nomen,Hast du einen Kugelschreiber für mich?,der Kugelschreiber,A1_SD1.pdf
A1 (Start Deutsch 1),Kühlschrank,der,buzdolabı,,Nomen,"Haben wir noch Milch? – Ja, im Kühlschrank.",der Kühlschrank,A1_SD1.pdf
A1 (Start Deutsch 1),kulturell,,kültürel,,Sonstiges,Ich bin kulturell interessiert. Ich gehe oft ins Museum.,kulturell,A1_SD1.pdf
A1 (Start Deutsch 1),sich kümmern,,"ilgilenmek, bakmak",,Sonstiges,Jede Mutter kümmert sich um ihre kleinen Kinder.,sich kümmern,A1_SD1.pdf
A1 (Start Deutsch 1),Kunde,der,müşteri,-n,Nomen,"Einen Moment, bitte. Ich habe eine Kundin.","der Kunde, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Kurs,der,kurs,-e,Nomen,Der Deutschkurs geht bis zum Sommer.,"der Kurs, -e",A1_SD1.pdf
A1 (Start Deutsch 1),kurz,,kısa,,Sonstiges,Ricardo hat kurzes Haar.,kurz,A1_SD1.pdf
A1 (Start Deutsch 1),lachen,,gülmek,,Sonstiges,Die Kinder lachen viel.,lachen,A1_SD1.pdf
A1 (Start Deutsch 1),Laden,der,"dükkân, mağaza",-ä,Nomen,Im Buchladen können Sie Bücher kaufen.,"der Laden, -ä",A1_SD1.pdf
A1 (Start Deutsch 1),Land,das,"ülke, kara","-ä, er",Nomen,Italien ist ein schönes Land.,"das Land, -ä, er",A1_SD1.pdf
A1 (Start Deutsch 1),lang,,uzun,,Sonstiges,Die Jeans ist zu lang.,lang,A1_SD1.pdf
A1 (Start Deutsch 1),lange,,"uzun süre, uzun zamandır",,Sonstiges,Wie lange fährt der Zug von Hamburg nach Berlin?,lange,A1_SD1.pdf
A1 (Start Deutsch 1),langsam,,yavaş,,Sonstiges,Könnten Sie bitte etwas langsamer sprechen?,langsam,A1_SD1.pdf
A1 (Start Deutsch 1),laufen,,"koşmak, yürümek",,Sonstiges,"Ich möchte nicht Auto fahren, ich möchte laufen.",laufen,A1_SD1.pdf
A1 (Start Deutsch 1),laut,,"gürültülü, yüksek sesle",,Sonstiges,Nicht so laut! Das Baby schläft.,laut,A1_SD1.pdf
A1 (Start Deutsch 1),leben,,yaşamak,,Sonstiges,Sie lebt bei ihrer Schwester. Ihre Eltern leben nicht mehr.,leben,A1_SD1.pdf
A1 (Start Deutsch 1),Leben,das,"hayat, yaşam",,Nomen,Das Leben in diesem Land ist teuer.,das Leben,A1_SD1.pdf
A1 (Start Deutsch 1),Lebens-,die,yaşam-,,Nomen,,die Lebens-,A1_SD1.pdf
A1 (Start Deutsch 1),mittel,,gıda maddeleri,(pl.),Sonstiges,Lebensmittel bekommen Sie im Supermarkt.,mittel (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),ledig,,bekâr,,Sonstiges,Sind Sie verheiratet? – Nein. Ledig.,ledig,A1_SD1.pdf
A1 (Start Deutsch 1),legen,,"koymak, yerleştirmek",,Sonstiges,Legen Sie das Buch auf den Tisch.,legen,A1_SD1.pdf
A1 (Start Deutsch 1),Lehrer,der,öğretmen,–,Nomen,Unsere Deutschlehrerin heißt Frau Müller.,"der Lehrer, –",A1_SD1.pdf
A1 (Start Deutsch 1),leicht,,"kolay, hafif",,Sonstiges,Der Koffer ist leicht. Deutsch ist nicht leicht.,leicht,A1_SD1.pdf
A1 (Start Deutsch 1),leider,,"maalesef, ne yazık ki",,Sonstiges,Leider kann ich nicht kommen. Ich muss zum Arzt.,leider,A1_SD1.pdf
A1 (Start Deutsch 1),leise,,"sessiz, sessizce",,Sonstiges,Seid leise. Die anderen schlafen schon.,leise,A1_SD1.pdf
A1 (Start Deutsch 1),lernen,,"öğrenmek, çalışmak",,Sonstiges,Wie lange lernen Sie schon Deutsch?,lernen,A1_SD1.pdf
A1 (Start Deutsch 1),lesen,,okumak,,Sonstiges,Ich lese ein Buch von García Márquez.,lesen,A1_SD1.pdf
A1 (Start Deutsch 1),letzt-,,son,,Sonstiges,Morgen ist der letzte Kurstag.,letzt-,A1_SD1.pdf
A1 (Start Deutsch 1),Leute,die,insanlar,(pl.),Nomen,In der Disko sind viele Leute.,die Leute (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),Licht,das,ışık,,Nomen,Wo macht man hier das Licht an?,das Licht,A1_SD1.pdf
A1 (Start Deutsch 1),lieb-,,sevgili,,Sonstiges,"Liebe Susanne, lieber Hans,",lieb-,A1_SD1.pdf
A1 (Start Deutsch 1),lieben,,sevmek,,Sonstiges,Ich liebe dich!,lieben,A1_SD1.pdf
A1 (Start Deutsch 1),lieber,,"tercihen, daha çok",,Sonstiges,Sie fährt lieber mit der Bahn.,lieber,A1_SD1.pdf
A1 (Start Deutsch 1),Lieblings-,,"favori, en sevilen",,Sonstiges,Mein Lieblingsfilm ist „Schwarze Augen“.,Lieblings-,A1_SD1.pdf
A1 (Start Deutsch 1),Lied,das,şarkı,-er,Nomen,Welches ist dein Lieblingslied?,"das Lied, -er",A1_SD1.pdf
A1 (Start Deutsch 1),liegen,,"yatmak, bulunmak",,Sonstiges,Um neun Uhr liegt Judith noch im Bett. Frankfurt liegt am Main.,liegen,A1_SD1.pdf
A1 (Start Deutsch 1),links,,"sol, solda",,Sonstiges,Gehen Sie die nächste Straße links.,links,A1_SD1.pdf
A1 (Start Deutsch 1),Lkw,der,kamyon,-s,Nomen,Dieser Lastkraftwagen ist sehr groß.,"der Lkw, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Lokal,das,"lokanta, mekân",,Nomen,In unserer Straße gibt es ein neues Lokal.,das Lokal,A1_SD1.pdf
A1 (Start Deutsch 1),Lösung,die,çözüm,-en,Nomen,Die Lösung ist ganz einfach.,"die Lösung, -en",A1_SD1.pdf
A1 (Start Deutsch 1),lustig,,"komik, eğlenceli",,Sonstiges,Frau Mertens ist lustig. Sie lacht immer.,lustig,A1_SD1.pdf
A1 (Start Deutsch 1),machen,,yapmak,,Sonstiges,Was machst du heute Abend? Ich muss jetzt das Essen machen.,machen,A1_SD1.pdf
A1 (Start Deutsch 1),Mädchen,das,"kız, kız çocuk",–,Nomen,Das macht 5 Euro 95. Das macht nichts. Familie Kurz bekommt ein Baby. – Junge oder Mädchen?,"das Mädchen, –",A1_SD1.pdf
A1 (Start Deutsch 1),man,,insan,,Sonstiges,Hier darf man nicht rauchen.,man,A1_SD1.pdf
A1 (Start Deutsch 1),Mann,der,"erkek, adam","-ä, er",Nomen,Mein Mann arbeitet bei der Polizei.,"der Mann, -ä, er",A1_SD1.pdf
A1 (Start Deutsch 1),männlich,,"erkek, eril",,Sonstiges,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,männlich,A1_SD1.pdf
A1 (Start Deutsch 1),Maschine,die,makine,-n,Nomen,Die Waschmaschine ist günstig.,"die Maschine, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Meer,das,deniz,,Nomen,Wir machen Urlaub am Meer.,das Meer,A1_SD1.pdf
A1 (Start Deutsch 1),mehr,,"daha fazla, artık",,Sonstiges,Dieses Auto kostet 1.000 Euro mehr als das andere.,mehr,A1_SD1.pdf
A1 (Start Deutsch 1),mein,,benim,,Sonstiges,Mein Vater ist Arzt.,mein,A1_SD1.pdf
A1 (Start Deutsch 1),meist-,,"çoğu, en çok",,Sonstiges,Die meisten Norddeutschen sind sehr groß.,meist-,A1_SD1.pdf
A1 (Start Deutsch 1),Mensch,der,insan,-en,Nomen,Die Menschen sind hier anders als bei uns.,"der Mensch, -en",A1_SD1.pdf
A1 (Start Deutsch 1),mieten,,kiralamak,,Sonstiges,Ich möchte ein Auto mieten.,mieten,A1_SD1.pdf
A1 (Start Deutsch 1),Miete,die,kira,,Nomen,Die Miete für diese Wohnung ist 600 Euro.,die Miete,A1_SD1.pdf
A1 (Start Deutsch 1),Milch,die,süt,,Nomen,Die Milch steht im Kühlschrank.,die Milch,A1_SD1.pdf
A1 (Start Deutsch 1),mit,,"ile, birlikte",,Sonstiges,Trinken Sie den Kaffee mit Milch?,mit,A1_SD1.pdf
A1 (Start Deutsch 1),mitbringen,,beraberinde getirmek,,Sonstiges,Ich gehe einkaufen. Soll ich dir was mitbringen?,mitbringen,A1_SD1.pdf
A1 (Start Deutsch 1),mitkommen,,birlikte gelmek,,Sonstiges,Ich gehe ins Kino. Kommst du mit?,mitkommen,A1_SD1.pdf
A1 (Start Deutsch 1),mitmachen,,katılmak,,Sonstiges,Warum macht ihr nicht mit?,mitmachen,A1_SD1.pdf
A1 (Start Deutsch 1),mitnehmen,,"yanına almak, beraberinde götürmek",,Sonstiges,Nehmen wir meine Schwester ins Kino mit?,mitnehmen,A1_SD1.pdf
A1 (Start Deutsch 1),Mitte,die,"orta, merkez",,Nomen,Der Lehrer steht in der Mitte des Klassenzimmers.,die Mitte,A1_SD1.pdf
A1 (Start Deutsch 1),Möbel,die,mobilya,(pl.),Nomen,Sind die Möbel neu?,die Möbel (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),möchten,,istemek,,Sonstiges,Was möchten Sie trinken?,möchten,A1_SD1.pdf
A1 (Start Deutsch 1),mögen,,"hoşlanmak, sevmek, istemek",,Sonstiges,Magst du Kaffee oder Tee?,mögen,A1_SD1.pdf
A1 (Start Deutsch 1),möglich,,mümkün,,Sonstiges,Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.,möglich,A1_SD1.pdf
A1 (Start Deutsch 1),Moment,der,"an, moment",,Nomen,Moment mal bitte! Einen Moment bitte.,der Moment,A1_SD1.pdf
A1 (Start Deutsch 1),morgen,,yarın,,Sonstiges,Morgen beginnt die Schule um 10 Uhr.,morgen,A1_SD1.pdf
A1 (Start Deutsch 1),müde,,yorgun,,Sonstiges,Ich bin müde. Ich gehe schlafen.,müde,A1_SD1.pdf
A1 (Start Deutsch 1),Mund,der,ağız,,Nomen,Öffnen Sie den Mund.,der Mund,A1_SD1.pdf
A1 (Start Deutsch 1),müssen,,"zorunda olmak, gerekmek",,Sonstiges,Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.,müssen,A1_SD1.pdf
A1 (Start Deutsch 1),Mutter,die,anne,-ü,Nomen,Frau Berghäuser ist die Mutter von Michaela.,"die Mutter, -ü",A1_SD1.pdf
A1 (Start Deutsch 1),nach,,"-e doğru, sonra",,Sonstiges,Ich gehe jetzt nach Hause. Ich fliege nach München. Es ist schon 5 nach 12.,nach,A1_SD1.pdf
A1 (Start Deutsch 1),nächst-,,"gelecek, bir sonraki",,Sonstiges,Sehen wir uns nächste Woche?,nächst-,A1_SD1.pdf
A1 (Start Deutsch 1),Name,der,"isim, ad",-n,Nomen,Mein Name ist Thomas Schmidt. Mein Vorname ist Thomas; Schmidt ist der Familienname.,"der Name, -n",A1_SD1.pdf
A1 (Start Deutsch 1),nehmen,,almak,,Sonstiges,Heute gibt es Hähnchen. Das nehme ich. Ich nehme den Bus.,nehmen,A1_SD1.pdf
A1 (Start Deutsch 1),nein,,hayır,,Sonstiges,"Fährst du auch nach München? – Nein, ich habe keine Zeit.",nein,A1_SD1.pdf
A1 (Start Deutsch 1),neu,,yeni,,Sonstiges,Ich bin der neue Kollege. Wir haben eine neue Wohnung.,neu,A1_SD1.pdf
A1 (Start Deutsch 1),nicht,,değil,,Sonstiges,"Das stimmt nicht. Das ist doch schön, nicht?",nicht,A1_SD1.pdf
A1 (Start Deutsch 1),nichts,,hiçbir şey,,Sonstiges,Das macht nichts. Hier kaufe ich nichts. Der Laden gefällt mir nicht.,nichts,A1_SD1.pdf
A1 (Start Deutsch 1),nie,,"asla, hiç",,Sonstiges,Er kommt nie pünktlich.,nie,A1_SD1.pdf
A1 (Start Deutsch 1),noch,,"hâlâ, henüz",,Sonstiges,Vielleicht kommt er noch. Wir warten noch fünf Minuten. Ich habe noch 20 Euro.,noch,A1_SD1.pdf
A1 (Start Deutsch 1),normal,,normal,,Sonstiges,75 kg. Sein Gewicht ist normal.,normal,A1_SD1.pdf
A1 (Start Deutsch 1),Nummer,die,numara,-n,Nomen,Sie haben Zimmer Nummer zwölf. Welche Hausnummer haben Sie? Können Sie mir Ihre Nummer geben?,"die Nummer, -n",A1_SD1.pdf
A1 (Start Deutsch 1),nur,,sadece,,Sonstiges,Ich möchte nur ein Glas Wasser.,nur,A1_SD1.pdf
A1 (Start Deutsch 1),oben,,yukarıda,,Sonstiges,Ich wohne oben.,oben,A1_SD1.pdf
A1 (Start Deutsch 1),Obst,das,meyve,,Nomen,Im Sommer ist das Obst billig.,das Obst,A1_SD1.pdf
A1 (Start Deutsch 1),oder,,"veya, ya da",,Sonstiges,Wann können Sie kommen – heute oder morgen?,oder,A1_SD1.pdf
A1 (Start Deutsch 1),öffnen,,açmak,,Sonstiges,Ich öffne die Tür.,öffnen,A1_SD1.pdf
A1 (Start Deutsch 1),geöffnet,,açık,,Sonstiges,Der Laden ist samstags bis 16.00 Uhr geöffnet.,geöffnet,A1_SD1.pdf
A1 (Start Deutsch 1),oft,,sık sık,,Sonstiges,Petra treffe ich oft.,oft,A1_SD1.pdf
A1 (Start Deutsch 1),ohne,,"-siz, olmadan",,Sonstiges,Ohne Geld kann er nichts kaufen.,ohne,A1_SD1.pdf
A1 (Start Deutsch 1),Öl,das,yağ,,Nomen,Den Salat machen wir ohne Öl.,das Öl,A1_SD1.pdf
A1 (Start Deutsch 1),Oma,die,büyükanne,-s,Nomen,Meine Oma ist schon tot.,"die Oma, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Opa,der,büyükbaba,-s,Nomen,Mein Opa heißt Hans.,"der Opa, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Ordnung,die,düzen,,Nomen,Das ist in Ordnung.,die Ordnung,A1_SD1.pdf
A1 (Start Deutsch 1),Ort,der,"yer, mekân",-e,Nomen,Der Ort liegt am Meer.,"der Ort, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Papier,das,kağıt,,Nomen,Hier sind Papier und Bleistift.,das Papier,A1_SD1.pdf
A1 (Start Deutsch 1),Papiere,die,"belgeler, evraklar",(pl.),Nomen,Haben Sie Ihre Papiere dabei?,die Papiere (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),Partner,der,"partner, eş",-/,Nomen,,"der Partner, -/",A1_SD1.pdf
A1 (Start Deutsch 1),Partnerin,die,"partner, eş",-nen,Nomen,Sie ist meine Partnerin.,"die Partnerin, -nen",A1_SD1.pdf
A1 (Start Deutsch 1),Party,die,parti,,Nomen,Heute Abend machen wir eine Party.,die Party,A1_SD1.pdf
A1 (Start Deutsch 1),Pass,der,pasaport,"-ä, e",Nomen,Im Hotel brauchst du deinen Pass.,"der Pass, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Pause,die,"mola, ara",-n,Nomen,Von 12.00 bis 12.30 Uhr haben wir Mittagspause.,"die Pause, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Plan,der,plan,"-ä, e",Nomen,Ich kaufe mir einen Stadtplan.,"der Plan, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Platz,der,"yer, meydan, alan","-ä, e",Nomen,"Tut mir leid, der Platz ist besetzt. Bitte nehmen Sie Platz! Ich wohne Messeplatz 5.","der Platz, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Polizei,die,polis,,Nomen,Holen Sie die Polizei!,die Polizei,A1_SD1.pdf
A1 (Start Deutsch 1),Pommes frites (pl.) Die,die,patates kızartması,,Nomen,Kinder essen Hähnchen mit Pommes frites.,die Pommes frites (pl.) Die,A1_SD1.pdf
A1 (Start Deutsch 1),Post,die,"postane, posta",,Nomen,"Wo ist die Post, bitte? Ist Post da?",die Post,A1_SD1.pdf
A1 (Start Deutsch 1),Postleitzahl,die,posta kodu,,Nomen,Wie ist Ihre Postleitzahl?,die Postleitzahl,A1_SD1.pdf
A1 (Start Deutsch 1),Praktikum,das,staj,,Nomen,Ich mache ein Praktikum bei Siemens.,das Praktikum,A1_SD1.pdf
A1 (Start Deutsch 1),Praxis,die,muayenehane,,Nomen,Die Praxis ist ab acht Uhr geöffnet.,die Praxis,A1_SD1.pdf
A1 (Start Deutsch 1),Preis,der,fiyat,-e,Nomen,Die Preise sind hoch.,"der Preis, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Problem,das,"sorun, problem",-e,Nomen,Mein Problem ist die Sprache.,"das Problem, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Prospekt,der,"broşür, katalog",-e,Nomen,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,"der Prospekt, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Prüfung,die,sınav,,Nomen,Die Prüfung ist am Montag um 8.00 Uhr.,die Prüfung,A1_SD1.pdf
A1 (Start Deutsch 1),pünktlich,,"dakik, tam zamanında",,Sonstiges,Der Bus fährt pünktlich um acht Uhr. Herr Müller ist immer pünktlich.,pünktlich,A1_SD1.pdf
A1 (Start Deutsch 1),Rad fahren,,bisiklete binmek,,Sonstiges,Das Kind kann schon Rad fahren.,Rad fahren,A1_SD1.pdf
A1 (Start Deutsch 1),rauchen,,sigara içmek,,Sonstiges,Ich rauche nicht.,rauchen,A1_SD1.pdf
A1 (Start Deutsch 1),Raum,der,"oda, mekân","-ä, e",Nomen,Der Unterricht ist in Raum 332.,"der Raum, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Rechnung,die,"hesap, fatura",-en,Nomen,"Die Rechnung, bitte.","die Rechnung, -en",A1_SD1.pdf
A1 (Start Deutsch 1),rechts,,"sağda, sağa",,Sonstiges,Die Schillerstraße ist hier rechts.,rechts,A1_SD1.pdf
A1 (Start Deutsch 1),regnen,,yağmur yağmak,,Sonstiges,Heute regnet es.,regnen,A1_SD1.pdf
A1 (Start Deutsch 1),Regen,der,yağmur,,Nomen,Bei diesem Regen gehe ich nicht raus.,der Regen,A1_SD1.pdf
A1 (Start Deutsch 1),Reis,der,pirinç,,Nomen,Ich esse gern Reis.,der Reis,A1_SD1.pdf
A1 (Start Deutsch 1),reisen,,seyahat etmek,,Sonstiges,Ich reise gern.,reisen,A1_SD1.pdf
A1 (Start Deutsch 1),Reise,die,"yolculuk, seyahat",,Nomen,Wir machen eine Reise nach Österreich.,die Reise,A1_SD1.pdf
A1 (Start Deutsch 1),Reisebüro,das,seyahat acentesi,-s,Nomen,Mein Mann arbeitet im Reisebüro.,"das Reisebüro, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Reiseführer,der,"rehber, seyahat rehberi",,Nomen,Ich kaufe mir einen Reiseführer von Berlin. Unser Reiseführer heißt Peter.,der Reiseführer,A1_SD1.pdf
A1 (Start Deutsch 1),reparieren,,"tamir etmek, onarmak",,Sonstiges,Er hat das Fahrrad repariert.,reparieren,A1_SD1.pdf
A1 (Start Deutsch 1),Reparatur,die,"tamir, onarım",,Nomen,Die Reparatur ist sehr teuer.,die Reparatur,A1_SD1.pdf
A1 (Start Deutsch 1),Restaurant,das,restoran,-s,Nomen,Wir essen heute in einem Restaurant.,"das Restaurant, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Rezeption,die,resepsiyon,,Nomen,Fragen Sie bitte im Hotel an der Rezeption.,die Rezeption,A1_SD1.pdf
A1 (Start Deutsch 1),richtig,,doğru,,Sonstiges,Habe ich das richtig verstanden? Das ist richtig.,richtig,A1_SD1.pdf
A1 (Start Deutsch 1),riechen,,"koklamak, kokmak",,Sonstiges,Dieser Wein riecht gut.,riechen,A1_SD1.pdf
A1 (Start Deutsch 1),ruhig,,sakin,,Sonstiges,Ich möchte ein ruhiges Zimmer.,ruhig,A1_SD1.pdf
A1 (Start Deutsch 1),Saft,der,meyve suyu,,Nomen,Möchtest du einen Apfelsaft?,der Saft,A1_SD1.pdf
A1 (Start Deutsch 1),sagen,,"söylemek, demek",,Sonstiges,"Sag mal, wie geht es dir denn?",sagen,A1_SD1.pdf
A1 (Start Deutsch 1),Salat,der,salata,,Nomen,Wie schmeckt dir der Salat?,der Salat,A1_SD1.pdf
A1 (Start Deutsch 1),Salz,das,tuz,,Nomen,"Herr Ober, kann ich bitte Salz haben?",das Salz,A1_SD1.pdf
A1 (Start Deutsch 1),Satz,,cümle,"-ä, e",Sonstiges,Dieser Satz ist sehr einfach.,"Satz, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),S-Bahn,die,banliyö treni,,Nomen,Ich nehme lieber die S-Bahn.,die S-Bahn,A1_SD1.pdf
A1 (Start Deutsch 1),Schalter,der,gişe,,Nomen,Gehen Sie bitte zum Schalter drei!,der Schalter,A1_SD1.pdf
A1 (Start Deutsch 1),scheinen,,"parlamak, görünmek",,Sonstiges,Die Sonne scheint.,scheinen,A1_SD1.pdf
A1 (Start Deutsch 1),schicken,,göndermek,,Sonstiges,Bitte schicken Sie mir eine E-Mail.,schicken,A1_SD1.pdf
A1 (Start Deutsch 1),Schild,das,"tabela, levha",-er,Nomen,Haben Sie nicht das Schild gesehen?,"das Schild, -er",A1_SD1.pdf
A1 (Start Deutsch 1),Schinken,der,jambon,–,Nomen,Ich möchte gern ein Schinkenbrot.,"der Schinken, –",A1_SD1.pdf
A1 (Start Deutsch 1),schlafen,,uyumak,,Sonstiges,Ich schlafe meistens acht Stunden.,schlafen,A1_SD1.pdf
A1 (Start Deutsch 1),schlecht,,"kötü, fena",,Sonstiges,Mir ist schlecht! Sie sehen schlecht aus. Wir haben schlechtes Wetter.,schlecht,A1_SD1.pdf
A1 (Start Deutsch 1),schließen,,kapatmak,,Sonstiges,"Bitte, schließen Sie die Tür.",schließen,A1_SD1.pdf
A1 (Start Deutsch 1),geschlossen,,kapalı,,Sonstiges,Die Bank hat am Samstag geschlossen.,geschlossen,A1_SD1.pdf
A1 (Start Deutsch 1),Schluss,der,"son, bitiş",,Nomen,Ich muss jetzt Schluss machen. Zum Schluss gibt er uns allen die Hand.,der Schluss,A1_SD1.pdf
A1 (Start Deutsch 1),Schlüssel,der,anahtar,–,Nomen,Ich gebe Ihnen noch den Zimmerschlüssel.,"der Schlüssel, –",A1_SD1.pdf
A1 (Start Deutsch 1),schmecken,,"tadı olmak, lezzetli olmak",,Sonstiges,Schmeckt das gut?,schmecken,A1_SD1.pdf
A1 (Start Deutsch 1),schnell,,"hızlı, çabuk",,Sonstiges,Er fährt schnell.,schnell,A1_SD1.pdf
A1 (Start Deutsch 1),schon,,"zaten, bile",,Sonstiges,Ist das Essen schon fertig?,schon,A1_SD1.pdf
A1 (Start Deutsch 1),schön,,güzel,,Sonstiges,Schönen Urlaub! Das ist sehr schön.,schön,A1_SD1.pdf
A1 (Start Deutsch 1),Schrank,der,dolap,"-ä, e",Nomen,Die Gläser stehen im Schrank.,"der Schrank, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),schreiben,,yazmak,,Sonstiges,Er schreibt jeden Tag fünfzig E-Mails.,schreiben,A1_SD1.pdf
A1 (Start Deutsch 1),Schuh,der,ayakkabı,-e,Nomen,Zieh die Schuhe aus!,"der Schuh, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Schule,die,okul,,Nomen,Meine Tochter geht schon in die Schule. Die Schule ist gleich hier um die Ecke.,die Schule,A1_SD1.pdf
A1 (Start Deutsch 1),Schüler,der,öğrenci,–,Nomen,In meinem Kurs sind acht Schülerinnen und fünf Schüler.,"der Schüler, –",A1_SD1.pdf
A1 (Start Deutsch 1),schwer,,"zor, ağır",,Sonstiges,Ist Ihr Gepäck sehr schwer? Das ist eine schwere Arbeit.,schwer,A1_SD1.pdf
A1 (Start Deutsch 1),Schwester,die,kız kardeş,-n,Nomen,Meine Schwester kommt am Dienstag.,"die Schwester, -n",A1_SD1.pdf
A1 (Start Deutsch 1),schwimmen,,yüzmek,,Sonstiges,Ich schwimme jeden Tag einen Kilometer.,schwimmen,A1_SD1.pdf
A1 (Start Deutsch 1),Schwimmbad,das,yüzme havuzu,,Nomen,Kommst du mit ins Schwimmbad?,das Schwimmbad,A1_SD1.pdf
A1 (Start Deutsch 1),See,der,göl,,Nomen,"Komm, wir fahren zum Starnberger See.",der See,A1_SD1.pdf
A1 (Start Deutsch 1),sehen,,görmek,,Sonstiges,Ich kann dich nicht sehen. Ich habe diesen Jungen schon einmal gesehen.,sehen,A1_SD1.pdf
A1 (Start Deutsch 1),Sehenswürdigkeit,die,"görülmeye değer yer, turistik yer",,Nomen,-en Welche Sehenswürdigkeiten gibt es in Frankfurt?,"die Sehenswürdigkeit,",A1_SD1.pdf
A1 (Start Deutsch 1),sehr,,çok,,Sonstiges,Danke sehr! Das ist sehr schwer.,sehr,A1_SD1.pdf
A1 (Start Deutsch 1),sein,,olmak,,Sonstiges,Herr Müller ist in seinem Zimmer. Mir ist kalt. Ich bin dreiundzwanzig.,sein,A1_SD1.pdf
A1 (Start Deutsch 1),an sein,,açık olmak,,Sonstiges,Das Licht ist noch an.,an sein,A1_SD1.pdf
A1 (Start Deutsch 1),auf sein,,açık olmak,,Sonstiges,Das Fenster ist noch auf.,auf sein,A1_SD1.pdf
A1 (Start Deutsch 1),weg sein,,gitmiş olmak,,Sonstiges,Herr Meier ist schon weg.,weg sein,A1_SD1.pdf
A1 (Start Deutsch 1),zu sein,,kapalı olmak,,Sonstiges,Die Tür ist zu.,zu sein,A1_SD1.pdf
A1 (Start Deutsch 1),seit,,-den beri,,Sonstiges,Ich wohne seit drei Jahren in Köln.,seit,A1_SD1.pdf
A1 (Start Deutsch 1),selbstständig,,"bağımsız, serbest meslek sahibi",,Sonstiges,Er ist selbstständig.,selbstständig,A1_SD1.pdf
A1 (Start Deutsch 1),sich,,"kendini, kendine",,Sonstiges,Sie müssen sich erst anmelden.,sich,A1_SD1.pdf
A1 (Start Deutsch 1),sie,,"o, onlar",,Sonstiges,Wie heißt sie?,sie,A1_SD1.pdf
A1 (Start Deutsch 1),Sie,,siz,,Sonstiges,"Wie heißen Sie, bitte?",Sie,A1_SD1.pdf
A1 (Start Deutsch 1),sitzen,,oturmak,,Sonstiges,Wo sitzen Sie?,sitzen,A1_SD1.pdf
